#_RAJ2000	_DECJ2000	SpeakTot	Sdensity	Maj	Min	PA	flag
173.390057	48.068918	2.579849e+00	6.334805e-03	4.755	4.081	150.8	1
173.822092	48.796975	2.579622e+00	7.906888e-03	6.137	3.310	156.7	1
173.633032	48.552703	2.561746e+00	6.737005e-03	5.396	4.281	164.8	1
173.114308	48.256880	2.550245e+00	2.654432e-03	16.747	7.486	107.1	1
174.207147	47.888105	2.544035e+00	4.038151e-03	9.959	4.710	119.5	1
173.643094	48.107003	2.540349e+00	4.724033e-03	7.492	5.168	111.8	1
173.982379	48.021929	2.532609e+00	3.109404e-03	11.964	5.175	128.6	1
174.896814	47.448668	2.524557e+00	7.791842e-03	3.914	3.474	136.5	1
174.333563	47.132921	2.519692e+00	2.483067e-03	17.465	7.999	101.2	1
174.190189	48.596822	2.519487e+00	3.255151e-03	8.937	6.116	138.6	1
174.573322	47.989957	2.493058e+00	7.436415e-03	3.994	3.231	-140.8	1
173.922224	47.657223	2.485492e+00	3.102986e-03	10.057	6.664	-149.0	1
174.692115	47.244656	2.467108e+00	1.166481e-02	10.820	1.079	151.2	0
174.362922	47.874577	2.445541e+00	7.495910e-03	4.118	3.303	-173.7	1
174.473636	47.615636	2.433956e+00	4.807814e-03	9.692	3.931	179.4	1
173.086821	48.334606	2.408580e+00	4.933087e-03	7.124	4.428	-166.2	1
174.164334	47.526482	2.407731e+00	9.640565e-03	3.105	3.014	-142.4	1
174.278831	48.328798	2.387476e+00	1.040295e-02	3.349	2.804	-141.6	0
174.669859	46.871051	2.386682e+00	7.315500e-03	3.949	3.490	177.9	1
173.615305	48.660879	2.383887e+00	8.613863e-03	3.518	3.344	49.0	1
174.812940	47.118644	2.365368e+00	7.103207e-03	4.549	3.925	-174.3	1
174.062421	48.789533	2.352880e+00	7.211894e-03	5.344	2.886	120.5	1
173.947601	48.802442	2.349029e+00	4.480742e-03	10.654	3.711	171.0	1
174.851405	47.436889	2.328424e+00	5.749196e-03	5.159	4.293	55.8	1
172.961852	48.145322	2.327544e+00	4.383323e-03	6.818	5.052	111.8	1
173.399919	48.076497	2.327174e+00	6.804603e-03	5.404	3.708	106.8	1
174.075660	48.301036	2.306826e+00	6.139259e-03	5.194	4.734	76.0	1
174.611550	48.314354	2.292654e+00	2.140667e-03	15.325	8.169	-159.8	1
